('83-155', '1946:281'),
('83-155', '1946:964'),
('83-155', '1947:141'),
('83-155', '1947:519'),
('83-155', '1948:471'),
('83-155', '1949:338'),
('83-155', '1950:152'),
('83-155', '1951:374'),
('83-155', '1952:574'),
('83-155', '1952:723'),
('83-157', '1933:32'),
('83-158', '1928:47'),
('83-16', '1942:166'),
('83-16', '1952:570'),
('83-160', '1921:18'),
('83-161', '1952:477'),
('83-162', '1914:311'),
('83-162', '1932:8'),
('83-162', '1945:557'),
('83-162', '1948:166'),
('83-162', '1950:673'),
('83-162', '1950:932'),
('83-162', '1951:1228'),
('83-163', '1946:724'),
('83-167', '1939:418'),
('83-168', '1952:570'),
('83-169', '1897:358'),
('83-169', '1916:458'),
('83-169', '1920:219'),
('83-169', '1923:262'),
('83-169', '1926:347'),
('83-169', '1927:155'),
('83-169', '1927:489'),
('83-169', '1934:750'),
('83-169', '1935:531'),
('83-169', '1936:541'),
('83-169', '1938:675'),
('83-169', '1938:676'),
('83-169', '1940:689'),
('83-169', '1940:720'),
('83-169', '1941:362'),
('83-169', '1944:268'),
('83-169', '1944:373'),
('83-169', '1946:672'),
('83-169', '1948:481'),
('83-169', '1948:625'),
('83-169', '1948:758'),
('83-169', '1948:826'),
('83-169', '1952:875'),
('83-170', '1932:272'),
('83-171', '1921:18'),
('83-171', '1944:172'),
('83-171', '1944:298'),
('83-171', '1944:665'),
('83-171', '1945:557'),
('83-171', '1949:694'),
('83-171', '1950:946'),
('83-171', '1952:462'),
('83-171', '1952:597'),
('83-172', '1916:241'),
('83-172', '1938:328'),
('83-172', '1944:300'),
('83-172', '1949:782'),
('83-172', '1952:576'),
('83-174', '1937:517'),
('83-175', '1918:74'),
('83-175', '1930:497'),
('83-175', '1932:522'),
('83-175', '1934:847'),
('83-175', '1937:896'),
('83-175', '1939:190'),
('83-175', '1942:247'),
('83-175', '1945:557'),
('83-175', '1946:324'),
('83-175', '1948:826'),
('83-175', '1948:832'),
('83-175', '1949:185'),
('83-175', '1949:218'),
('83-175', '1949:338'),
('83-175', '1949:89'),
('83-175', '1950:171'),
('83-175', '1950:94'),
('83-175', '1951:15'),
('83-175', '1951:376'),
('83-175', '1952:949'),
('83-176', '1945:135'),
('83-176', '1952:570'),
('83-177', '1895:23'),
('83-177', '1929:33'),
('83-177', '1941:268'),
('83-177', '1946:530'),
('83-177', '1946:753'),
('83-177', '1948:658'),
('83-177', '1949:138'),
('83-177', '1949:782'),
('83-177', '1951:665'),
('83-178', '1949:299'),
('83-178', '1949:681'),
('83-178', '1949:782'),
('83-179', '1949:772'),
('83-18', '1930:349'),
('83-180', '1924:320'),
('83-180', '1944:268'),
('83-184', '1930:497'),
('83-185', '1949:686'),
('83-188', '1947:208'),
('83-189', '1920:85'),
('83-193', '1898:541'),
('83-194', '1936:858'),
('83-194', '1938:601'),
('83-194', '1945:583'),
('83-194', '1946:251'),
('83-194', '1946:957'),
('83-194', '1947:361'),
('83-194', '1949:185'),
('83-194', '1949:782'),
('83-194', '1950:912'),
('83-194', '1951:533'),
('83-194', '1952:462'),
('83-195', '1939:2'),
('83-196', '1942:396'),
('83-196', '1946:753'),
('83-199', '1935:417'),
